trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-50.979840736702116,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,0,-32.13918242800577,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-22.0583000918792,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,-104.79101505154021,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,-30.71100950594399,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,6,-60.21888666903176,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-76.99434793399267,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,9,-0.48525604058850735,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,4.736621002822911,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",30,9,-11.974144674383577,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-61.2211397674129,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,15,7.978958336232403,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,10,-1.7670241726561695,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,12,-19.841372153344107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-7.806421649312343,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",35,23,14.10211942250527,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,3,0.7964869887177355,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",35,19,4.255695827845868,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
